timestep,agent_name,actor_type,actor_id,consumer_id,feedback_type,message,market,visibility,reasoning_summary,action_sequence,intra_timestep_sequence,action_id,depends_on_action_id,source_snapshot_timestep,committed_timestep,validation_status,validation_errors,repair_notes,raw_row_json
7,customer_agent,consumer,C018,C018,explain_preference,Customer experience feedback recorded.,Germany,private,,1,1,customer_feedback-7-C018-30033,,6,7,,,,
7,customer_agent,consumer,C001,C001,positive,Customer experience feedback recorded.,Germany,private,,2,2,customer_feedback-7-C001-90323,,6,7,,,,
7,customer_agent,consumer,C002,C002,positive,Customer experience feedback recorded.,Germany,private,,3,3,customer_feedback-7-C002-63469,,6,7,,,,
7,customer_agent,consumer,C003,C003,positive,Customer experience feedback recorded.,Germany,private,,4,4,customer_feedback-7-C003-61787,,6,7,,,,
7,customer_agent,consumer,C004,C004,positive,Customer experience feedback recorded.,Germany,private,,5,5,customer_feedback-7-C004-27720,,6,7,,,,
7,customer_agent,consumer,C005,C005,positive,Customer experience feedback recorded.,Germany,private,,6,6,customer_feedback-7-C005-88287,,6,7,,,,
7,customer_agent,consumer,C006,C006,positive,Customer experience feedback recorded.,Germany,private,,7,7,customer_feedback-7-C006-73374,,6,7,,,,
7,customer_agent,consumer,C007,C007,positive,Customer experience feedback recorded.,Germany,private,,8,8,customer_feedback-7-C007-48231,,6,7,,,,
7,customer_agent,consumer,C008,C008,positive,Customer experience feedback recorded.,Germany,private,,9,9,customer_feedback-7-C008-4426,,6,7,,,,
7,customer_agent,consumer,C009,C009,positive,Customer experience feedback recorded.,Germany,private,,10,10,customer_feedback-7-C009-60225,,6,7,,,,
7,customer_agent,consumer,C010,C010,positive,Customer experience feedback recorded.,Germany,private,,11,11,customer_feedback-7-C010-95502,,6,7,,,,
8,customer_agent,consumer,C012,C012,select,Customer experience feedback recorded.,Germany,private,selected_offer_id=B003_offer_14,1,1,C012-feedback-8-1,,7,8,,,,
8,customer_agent,consumer,C013,C013,select,Customer experience feedback recorded.,Germany,private,selected_offer_id=B003_offer_14,2,2,C013-feedback-8-1,,7,8,,,,
8,customer_agent,consumer,C014,C014,select,Customer experience feedback recorded.,Germany,private,selected_offer_id=B003_offer_14,3,3,C014-feedback-8-1,,7,8,,,,
8,customer_agent,consumer,C015,C015,select,Customer experience feedback recorded.,Germany,private,selected_offer_id=B003_offer_14,4,4,C015-feedback-8-1,,7,8,,,,
8,customer_agent,consumer,C016,C016,select,Customer experience feedback recorded.,Germany,private,selected_offer_id=B003_offer_14,5,5,C016-feedback-8-1,,7,8,,,,
8,customer_agent,consumer,C017,C017,select,Customer experience feedback recorded.,Germany,private,selected_offer_id=B003_offer_14,6,6,C017-feedback-8-1,,7,8,,,,
8,customer_agent,consumer,C018,C018,select,Customer experience feedback recorded.,Germany,private,selected_offer_id=B003_offer_14,7,7,C018-feedback-8-1,,7,8,,,,
8,customer_agent,consumer,C001,C001,selects,Customer experience feedback recorded.,Germany,private,,8,8,C001-8-1,,7,8,,,,
8,customer_agent,consumer,C002,C002,selects,Customer experience feedback recorded.,Germany,private,,9,9,C002-8-1,,7,8,,,,
8,customer_agent,consumer,C003,C003,selects,Customer experience feedback recorded.,Germany,private,,10,10,C003-8-1,,7,8,,,,
8,customer_agent,consumer,C004,C004,selects,Customer experience feedback recorded.,Germany,private,,11,11,C004-8-1,,7,8,,,,
8,customer_agent,consumer,C005,C005,selects,Customer experience feedback recorded.,Germany,private,,12,12,C005-8-1,,7,8,,,,
8,customer_agent,consumer,C006,C006,selects,Customer experience feedback recorded.,Germany,private,,13,13,C006-8-1,,7,8,,,,
8,customer_agent,consumer,C008,C008,selects,Customer experience feedback recorded.,Germany,private,,14,14,C008-8-1,,7,8,,,,
8,customer_agent,consumer,C009,C009,selects,Customer experience feedback recorded.,Germany,private,,15,15,C009-8-1,,7,8,,,,
8,customer_agent,consumer,C010,C010,selects,Customer experience feedback recorded.,Germany,private,,16,16,C010-8-1,,7,8,,,,
9,customer_agent,consumer,C012,C012,select,Customer experience feedback recorded.,Germany,private,,1,1,customer_feedback-9-C012-62175,,8,9,,,,
9,customer_agent,consumer,C013,C013,select,Customer experience feedback recorded.,Germany,private,,2,2,customer_feedback-9-C013-75387,,8,9,,,,
9,customer_agent,consumer,C014,C014,select,Customer experience feedback recorded.,Germany,private,,3,3,customer_feedback-9-C014-81676,,8,9,,,,
9,customer_agent,consumer,C015,C015,select,Customer experience feedback recorded.,Germany,private,,4,4,customer_feedback-9-C015-89603,,8,9,,,,
9,customer_agent,consumer,C016,C016,select,Customer experience feedback recorded.,Germany,private,,5,5,customer_feedback-9-C016-38003,,8,9,,,,
9,customer_agent,consumer,C017,C017,select,Customer experience feedback recorded.,Germany,private,,6,6,customer_feedback-9-C017-81948,,8,9,,,,
9,customer_agent,consumer,C018,C018,select,Customer experience feedback recorded.,Germany,private,,7,7,customer_feedback-9-C018-87126,,8,9,,,,
9,customer_agent,consumer,C001,C001,select_offer,Customer experience feedback recorded.,Germany,private,,8,8,customer_feedback-9-C001-61917,,8,9,,,,
9,customer_agent,consumer,C002,C002,select_offer,Customer experience feedback recorded.,Germany,private,,9,9,customer_feedback-9-C002-64848,,8,9,,,,
9,customer_agent,consumer,C003,C003,select_offer,Customer experience feedback recorded.,Germany,private,,10,10,customer_feedback-9-C003-21666,,8,9,,,,
9,customer_agent,consumer,C004,C004,select_offer,Customer experience feedback recorded.,Germany,private,,11,11,customer_feedback-9-C004-36480,,8,9,,,,
9,customer_agent,consumer,C005,C005,select_offer,Customer experience feedback recorded.,Germany,private,,12,12,customer_feedback-9-C005-36700,,8,9,,,,
9,customer_agent,consumer,C006,C006,select_offer,Customer experience feedback recorded.,Germany,private,,13,13,customer_feedback-9-C006-53935,,8,9,,,,
9,customer_agent,consumer,C008,C008,select_offer,Customer experience feedback recorded.,Germany,private,,14,14,customer_feedback-9-C008-24839,,8,9,,,,
9,customer_agent,consumer,C009,C009,select_offer,Customer experience feedback recorded.,Germany,private,,15,15,customer_feedback-9-C009-78502,,8,9,,,,
9,customer_agent,consumer,C010,C010,select_offer,Customer experience feedback recorded.,Germany,private,,16,16,customer_feedback-9-C010-57312,,8,9,,,,
9,customer_agent,consumer,C011,C011,select_offer,Customer experience feedback recorded.,Germany,private,,17,17,customer_feedback-9-C011-94311,,8,9,,,,
