timestep,agent_name,actor_type,actor_id,consumer_id,consumer_name,action_type,action_detail,decision_reason,reasoning_inputs,considered_offer_ids,funnel_stage_before,funnel_stage_after,visibility,reasoning_summary,action_sequence,intra_timestep_sequence,action_id,depends_on_action_id,source_snapshot_timestep,committed_timestep,validation_status,validation_errors,repair_notes,raw_row_json,search_parameters,selected_offer_id,selected_bank_id,selected_bank_name
4,customer_agent,consumer,C011,C011,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C011-select-offer-1,,3,4,,,,,,,,
4,customer_agent,consumer,C012,C012,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C012-select-offer-1,,3,4,,,,,,,,
4,customer_agent,consumer,C013,C013,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C013-select-offer-1,,3,4,,,,,,,,
4,customer_agent,consumer,C014,C014,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C014-select-offer-1,,3,4,,,,,,,,
4,customer_agent,consumer,C015,C015,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C015-select-offer-1,,3,4,,,,,,,,
4,customer_agent,consumer,C016,C016,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C016-select-offer-1,,3,4,,,,,,,,
5,customer_agent,consumer,C011,C011,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C011-SELECT-O006,,4,5,,,,,,,,
5,customer_agent,consumer,C012,C012,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C012-SELECT-B003_offer_6,,4,5,,,,,,,,
5,customer_agent,consumer,C013,C013,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C013-SELECT-B003_offer_6,,4,5,,,,,,,,
5,customer_agent,consumer,C014,C014,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C014-SELECT-B003_offer_6,,4,5,,,,,,,,
5,customer_agent,consumer,C015,C015,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C015-SELECT-B003_offer_6,,4,5,,,,,,,,
5,customer_agent,consumer,C016,C016,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C016-SELECT-B003_offer_6,,4,5,,,,,,,,
5,customer_agent,consumer,C017,C017,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C017-SELECT-B003_offer_6,,4,5,,,,,,,,
6,customer_agent,consumer,C011,C011,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C011-1,,5,6,,,,,,,,
6,customer_agent,consumer,C012,C012,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C012-1,,5,6,,,,,,,,
6,customer_agent,consumer,C013,C013,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C013-1,,5,6,,,,,,,,
6,customer_agent,consumer,C014,C014,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C014-1,,5,6,,,,,,,,
6,customer_agent,consumer,C015,C015,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C015-1,,5,6,,,,,,,,
6,customer_agent,consumer,C016,C016,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C016-1,,5,6,,,,,,,,
6,customer_agent,consumer,C017,C017,,select_offer,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C017-1,,5,6,,,,,,,,
6,customer_agent,consumer,C018,C018,,start_search,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C018-1,,5,6,,,,,,,,
6,customer_agent,consumer,C001,C001,,research_offers,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C001-research-1,,5,6,,,,,,,,
6,customer_agent,consumer,C002,C002,,research_offers,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C002-research-1,,5,6,,,,,,,,
6,customer_agent,consumer,C003,C003,,research_offers,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C003-research-1,,5,6,,,,,,,,
6,customer_agent,consumer,C004,C004,,research_offers,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C004-research-1,,5,6,,,,,,,,
6,customer_agent,consumer,C005,C005,,research_offers,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C005-research-1,,5,6,,,,,,,,
6,customer_agent,consumer,C006,C006,,research_offers,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C006-research-1,,5,6,,,,,,,,
6,customer_agent,consumer,C007,C007,,research_offers,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C007-research-1,,5,6,,,,,,,,
6,customer_agent,consumer,C008,C008,,research_offers,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C008-research-1,,5,6,,,,,,,,
6,customer_agent,consumer,C009,C009,,research_offers,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C009-research-1,,5,6,,,,,,,,
6,customer_agent,consumer,C010,C010,,research_offers,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C010-research-1,,5,6,,,,,,,,
7,customer_agent,consumer,C011,C011,,select_bank,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C011-select-bank-B004,,6,7,,,,,,,,
7,customer_agent,consumer,C012,C012,,select_bank,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C012-select-bank-B003,,6,7,,,,,,,,
7,customer_agent,consumer,C013,C013,,select_bank,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C013-select-bank-B003,,6,7,,,,,,,,
7,customer_agent,consumer,C014,C014,,select_bank,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C014-select-bank-B003,,6,7,,,,,,,,
7,customer_agent,consumer,C015,C015,,select_bank,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C015-select-bank-B003,,6,7,,,,,,,,
7,customer_agent,consumer,C016,C016,,select_bank,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C016-select-bank-B003,,6,7,,,,,,,,
7,customer_agent,consumer,C017,C017,,select_bank,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C017-select-bank-B003,,6,7,,,,,,,,
7,customer_agent,consumer,C018,C018,,browse_marketplace,,,,,,,private,Customer action recorded; explicit decision reason was not provided.,1,1,C018-browse_marketplace,,6,7,,,,,,,,
7,customer_agent,consumer,C001,C001,,engage_with_marketplace,,,,,,,public,Customer action recorded; explicit decision reason was not provided.,1,1,C001-1,,6,7,,,,,,,,
7,customer_agent,consumer,C002,C002,,engage_with_marketplace,,,,,,,public,Customer action recorded; explicit decision reason was not provided.,1,1,C002-1,,6,7,,,,,,,,
7,customer_agent,consumer,C003,C003,,engage_with_marketplace,,,,,,,public,Customer action recorded; explicit decision reason was not provided.,1,1,C003-1,,6,7,,,,,,,,
7,customer_agent,consumer,C004,C004,,engage_with_marketplace,,,,,,,public,Customer action recorded; explicit decision reason was not provided.,1,1,C004-1,,6,7,,,,,,,,
7,customer_agent,consumer,C005,C005,,engage_with_marketplace,,,,,,,public,Customer action recorded; explicit decision reason was not provided.,1,1,C005-1,,6,7,,,,,,,,
