timestep,agent_name,actor_type,actor_id,bank_id,bank_name,base_reputation_score,current_reputation_score,reputation_source,reputation_notes,offer_id,product_id,product_name,offer_type,visibility,base_interest_rate_apr,effective_interest_rate_apr,processing_fee_pct,relationship_discount_bps,min_credit_score,min_schufa_score_pct,min_loan_amount_eur,max_loan_amount_eur,min_term_months,max_term_months,target_customer_segment,offer_description,valid_from_timestep,valid_to_timestep,reasoning_summary,action_sequence,intra_timestep_sequence,action_id,depends_on_action_id,source_snapshot_timestep,committed_timestep,validation_status,validation_errors,repair_notes,raw_row_json
1,bank_agent,bank,B001,B001,,,,,,B001-loan-std-1,personal_loan,Deutsche Bank Personal Loan,standard_offer,public,0.065,0.067,0.01,20.0,,,5000.0,25000.0,12,60,,,1,3,,1,1,B001-offer-1,,0,1,,,,
1,bank_agent,bank,B001,B001,,,,,,B001-loan-premium-1,personal_loan,Deutsche Bank Premium Personal Loan,standard_offer,public,0.055,0.057,0.005,30.0,,,25001.0,75000.0,24,84,,,1,3,,2,2,B001-offer-2,,0,1,,,,
1,bank_agent,bank,B007,B007,,,,,,B007-O-1,PL-001,Targobank Personal Loan,standard_offer,public,0.0599,0.0599,0.01,10.0,,,1000.0,50000.0,12,84,,,1,3,,1,1,B007-A-1,,0,1,,,,
1,bank_agent,bank,B007,B007,,,,,,B007-O-2,SCL-001,Targobank Small Credit Line,standard_offer,public,0.0749,0.0749,0.015,15.0,,,500.0,10000.0,6,48,,,1,3,,1,1,B007-A-1_4,,0,1,,,,
1,bank_agent,bank,B004,B004,,,,,,O001,P001,DKB Personal Loan,standard_offer,public,3.5,3.55,0.5,5.0,,,1000.0,50000.0,12,84,,,1,3,,1,1,A002,,0,1,,,,
1,bank_agent,bank,B004,B004,,,,,,O002,P002,DKB Car Loan,standard_offer,public,2.9,2.95,0.3,10.0,,,5000.0,75000.0,24,96,,,1,3,,1,1,A003,,0,1,,,,
1,bank_agent,bank,B002,B002,,,,,,O-B002-001,P-B002-PL,Commerzbank Personal Loan,standard_offer,private,0.055,0.055,0.01,0.0,,,5000.0,50000.0,12,60,,,1,3,,1,1,A001,,0,1,,,,
1,bank_agent,bank,B002,B002,,,,,,O-B002-002,P-B002-CL,Commerzbank Car Loan,standard_offer,private,0.045,0.045,0.005,0.0,,,10000.0,75000.0,24,84,,,1,3,,1,1,A001_8,,0,1,,,,
1,bank_agent,bank,B008,B008,,,,,,offer_B008_1,personal_loan_B008_1,Santander Personal Loan,standard_offer,public,0.05,0.052,0.01,10.0,,,5000.0,50000.0,12,84,,,1,3,,1,1,action_B008_1,,0,1,,,,
1,bank_agent,bank,B008,B008,,,,,,offer_B008_2,express_loan_B008_1,Santander Express Loan,standard_offer,public,0.07,0.075,0.015,5.0,,,1000.0,10000.0,6,48,,,1,3,,1,1,action_B008_1_10,,0,1,,,,
1,bank_agent,bank,B008,B008,,,,,,offer_B008_3,large_purchase_loan_B008_1,Santander Large Purchase Loan,standard_offer,public,0.04,0.042,0.005,15.0,,,20000.0,100000.0,24,120,,,1,3,,1,1,action_B008_1_11,,0,1,,,,
1,bank_agent,bank,B005,B005,,,,,,B005-O-1,B005-P-PL,Sparkasse Personal Loan,standard_offer,public,0.059,0.061,0.01,15.0,,,5000.0,75000.0,12,84,,,1,3,,1,1,B005-O-1,,0,1,,,,
1,bank_agent,bank,B005,B005,,,,,,B005-O-2,B005-P-M,Sparkasse Mortgage,standard_offer,public,0.038,0.04,0.005,10.0,,,100000.0,800000.0,120,360,,,1,3,,1,1,B005-O-2,,0,1,,,,
1,bank_agent,bank,B006,B006,,,,,,B006-L-1,B006-L,Standard Loan,standard_offer,public,0.05,0.052,0.01,10.0,,,1000.0,10000.0,12,36,,,1,3,,1,1,bank_offers-1-B006-57471,,0,1,,,,
1,bank_agent,bank,B006,B006,,,,,,B006-L-2,B006-L,Standard Loan,standard_offer,public,0.045,0.047,0.008,15.0,,,10001.0,50000.0,37,72,,,1,3,,2,2,bank_offers-1-B006-34479,,0,1,,,,
1,bank_agent,bank,B006,B006,,,,,,B006-L-3,B006-L,Standard Loan,standard_offer,public,0.04,0.042,0.005,20.0,,,50001.0,100000.0,73,120,,,1,3,,3,3,bank_offers-1-B006-91279,,0,1,,,,
1,bank_agent,bank,B003,B003,,,,,,B003_offer_1,personal_loan,ING Personal Loan,standard_offer,public,0.035,0.038,0.015,50.0,,,1000.0,50000.0,12,84,,,1,3,,1,1,B003_publish_offers_1,,0,1,,,,
1,bank_agent,bank,B003,B003,,,,,,B003_offer_2,car_loan,ING Car Loan,standard_offer,public,0.03,0.032,0.01,30.0,,,5000.0,75000.0,24,96,,,1,3,,1,1,B003_publish_offers_1_18,,0,1,,,,
2,bank_agent,bank,B004,B004,,,,,,O003,P003,DKB Green Energy Loan,standard_offer,public,2.7,2.75,0.2,15.0,,,5000.0,100000.0,24,120,,,2,4,,1,1,A004,,1,2,,,,
2,bank_agent,bank,B002,B002,,,,,,O-B002-003,P-B002-PL-PLUS,Commerzbank Personal Loan Plus,standard_offer,public,0.048,0.049,0.005,0.0,,,5000.0,60000.0,12,84,,,2,4,,2,2,A003,,1,2,,,,
2,bank_agent,bank,B008,B008,,,,,,offer_B008_4,green_loan_B008_1,Santander Green Energy Loan,standard_offer,public,0.045,0.047,0.005,10.0,,,10000.0,75000.0,24,120,,,2,4,,2,2,action_B008_3,,1,2,,,,
2,bank_agent,bank,B007,B007,,,,,,B007-O-3,CL-001,Targobank Car Loan,standard_offer,public,0.0499,0.0499,0.01,10.0,,,5000.0,60000.0,24,96,,,2,4,,2,2,B007-A-3,,1,2,,,,
2,bank_agent,bank,B006,B006,,,,,,B006-L-1-T2,B006-L,Standard Loan,standard_offer,public,0.049,0.051,0.01,10.0,,,1000.0,10000.0,12,36,,,2,4,,1,1,B006-offer-2-1,,1,2,,,,
2,bank_agent,bank,B006,B006,,,,,,B006-L-2-T2,B006-L,Standard Loan,standard_offer,public,0.044,0.046,0.008,15.0,,,10001.0,50000.0,37,72,,,2,4,,2,2,B006-offer-2-2,,1,2,,,,
2,bank_agent,bank,B006,B006,,,,,,B006-L-3-T2,B006-L,Standard Loan,standard_offer,public,0.039,0.041,0.005,20.0,,,50001.0,100000.0,73,120,,,2,4,,3,3,B006-offer-2-3,,1,2,,,,
2,bank_agent,bank,B001,B001,,,,,,B001-loan-green-1,green_energy_loan,Deutsche Bank Green Energy Loan,standard_offer,public,0.06,0.062,0.008,25.0,,,10000.0,50000.0,24,84,,,2,4,,1,1,B001-offer-3,,1,2,,,,
2,bank_agent,bank,B003,B003,,,,,,B003_offer_3,personal_loan,ING Personal Loan,standard_offer,public,0.034,0.037,0.015,50.0,,,1000.0,50000.0,12,84,,,2,4,,1,1,B003_action_1,,1,2,,,,
3,bank_agent,bank,B002,B002,,,,,,O-B002-004,P-B002-GL,Commerzbank Green Energy Loan,standard_offer,public,0.046,0.047,0.005,0.0,,,10000.0,80000.0,24,120,,,3,5,,2,2,A005,,2,3,,,,
3,bank_agent,bank,B002,B002,,,,,,O-B002-005,P-B002-CL,Commerzbank Car Loan,standard_offer,public,0.044,0.0445,0.005,0.0,,,10000.0,75000.0,24,84,,,3,5,,2,2,A006,,2,3,,,,
