timestep,agent_name,actor_type,actor_id,bank_id,bank_name,base_reputation_score,current_reputation_score,reputation_source,reputation_notes,action_type,action_detail,visibility,reasoning_summary,action_sequence,intra_timestep_sequence,action_id,depends_on_action_id,source_snapshot_timestep,committed_timestep,validation_status,validation_errors,repair_notes,raw_row_json,advisor_callback_enabled,preapproved_offer_enabled,documentation_friction_score,counter_offer_enabled,average_approval_time_days,relationship_discount_bps,digital_friction_score,comparison_portal_optimised,instant_document_validation_enabled,abandoned_application_followup_enabled,parameters
1,bank_agent,bank,B001,B001,,,,,,management,,private,,1,1,B001-action-1,,0,1,,,,,,,,,,,,,,,"{'action_description': 'Initial market entry and operational setup.', 'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_description"": ""Initial market entry and operational setup."", ""action_id"": ""B001-action-1"", ""action_sequence"": 1, ""action_type"": ""management"", ""actor_id"": ""B001"", ""actor_type"": ""bank"", ""bank_id"": ""B001"", ""timestep"": 1, ""visibility"": ""private""}'}"
1,bank_agent,bank,B007,B007,,,,,,enter_market,,public,,1,1,B007-A-1,,0,1,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_id"": ""B007-A-1"", ""action_sequence"": 1, ""action_type"": ""enter_market"", ""actor_id"": ""B007"", ""actor_type"": ""bank"", ""bank_id"": ""B007"", ""timestep"": 1, ""visibility"": ""public""}'}"
1,bank_agent,bank,B004,B004,,,,,,management_decision,"""DKB is starting its operations in the German market.""",public,,1,1,A001,,0,1,,,,,,,,,,,,,,,"{'validation_status': 'repaired', 'validation_errors': None, 'repair_notes': 'action_details -> action_detail', 'raw_row_json': '{""action_details"": ""DKB is starting its operations in the German market."", ""action_id"": ""A001"", ""action_sequence"": 1, ""action_type"": ""management_decision"", ""actor_id"": ""B004"", ""actor_type"": ""bank"", ""bank_id"": ""B004"", ""timestep"": 1, ""visibility"": ""public""}'}"
1,bank_agent,bank,B002,B002,,,,,,strategy,"""Initial market entry with two loan products and corresponding marketing campaigns.""",private,,1,1,A001_4,,0,1,,,,,,,,,,,,,,,"{'validation_status': 'repaired', 'validation_errors': None, 'repair_notes': 'action_details -> action_detail', 'raw_row_json': '{""action_details"": ""Initial market entry with two loan products and corresponding marketing campaigns."", ""action_id"": ""A001"", ""action_sequence"": 0, ""action_type"": ""strategy"", ""actor_id"": ""B002"", ""actor_type"": ""bank"", ""bank_id"": ""B002"", ""timestep"": 1, ""visibility"": ""private""}'}"
1,bank_agent,bank,B008,B008,,,,,,initialize,"""Initializing the bank with a set of standard loan offers.""",private,,1,1,action_B008_1,,0,1,,,,,,,,,,,,,,,"{'validation_status': 'repaired', 'validation_errors': None, 'repair_notes': 'action_details -> action_detail', 'raw_row_json': '{""action_details"": ""Initializing the bank with a set of standard loan offers."", ""action_id"": ""action_B008_1"", ""action_sequence"": 1, ""action_type"": ""initialize"", ""actor_id"": ""B008"", ""actor_type"": ""bank"", ""bank_id"": ""B008"", ""timestep"": 1, ""visibility"": ""private""}'}"
1,bank_agent,bank,B005,B005,,,,,,ProductManagement,"{""description"": ""Initial product launch for personal and mortgage loans.""}",private,,1,1,B005-A-1,,0,1,,,,,,,,,,,,,,,"{'validation_status': 'repaired', 'validation_errors': None, 'repair_notes': 'action_details -> action_detail', 'raw_row_json': '{""action_details"": {""description"": ""Initial product launch for personal and mortgage loans.""}, ""action_id"": ""B005-A-1"", ""action_sequence"": 1, ""action_type"": ""ProductManagement"", ""actor_id"": ""B005"", ""actor_type"": ""bank"", ""bank_id"": ""B005"", ""timestep"": 1, ""visibility"": ""private""}'}"
1,bank_agent,bank,B006,B006,,,,,,UPDATE_OFFERS,"""Initial launch of loan products""",public,,1,1,B006-A-1,,0,1,,,,,,,,,,,,,,,"{'validation_status': 'repaired', 'validation_errors': None, 'repair_notes': 'action_details -> action_detail', 'raw_row_json': '{""action_details"": ""Initial launch of loan products"", ""action_id"": ""B006-A-1"", ""action_sequence"": 1, ""action_type"": ""UPDATE_OFFERS"", ""actor_id"": ""B006"", ""actor_type"": ""bank"", ""bank_id"": ""B006"", ""timestep"": 1, ""visibility"": ""public""}'}"
1,bank_agent,bank,B003,B003,,,,,,publish_offers,"""Publish initial loan offers for the German market""",private,,1,1,B003_publish_offers_1,,0,1,,,,,,,,,,,,,,,"{'validation_status': 'repaired', 'validation_errors': None, 'repair_notes': 'action_details -> action_detail', 'raw_row_json': '{""action_details"": ""Publish initial loan offers for the German market"", ""action_id"": ""B003_publish_offers_1"", ""action_sequence"": 1, ""action_type"": ""publish_offers"", ""actor_id"": ""B003"", ""actor_type"": ""bank"", ""bank_id"": ""B003"", ""timestep"": 1, ""visibility"": ""private""}'}"
2,bank_agent,bank,B004,B004,,,,,,product_launch,"In response to the government stimulus for green energy, DKB is launching a new loan product tailored for eco-friendly projects.",public,,1,1,A004,,1,2,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""In response to the government stimulus for green energy, DKB is launching a new loan product tailored for eco-friendly projects."", ""action_id"": ""A004"", ""action_sequence"": 1, ""action_type"": ""product_launch"", ""actor_id"": ""B004"", ""actor_type"": ""bank"", ""bank_id"": ""B004"", ""timestep"": 2, ""visibility"": ""public""}'}"
2,bank_agent,bank,B004,B004,,,,,,no_action,Maintaining competitive rates on existing personal and car loans.,public,,1,1,A005,,1,2,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""Maintaining competitive rates on existing personal and car loans."", ""action_id"": ""A005"", ""action_sequence"": 1, ""action_type"": ""no_action"", ""actor_id"": ""B004"", ""actor_type"": ""bank"", ""bank_id"": ""B004"", ""timestep"": 2, ""visibility"": ""public""}'}"
